last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Machado, Manny,592518,2019,661,462,.256,.267,-.011,.462,.474,-.012,.335,.349,-.014
Choo, Shin-Soo,425783,2019,660,399,.265,.266,-.001,.455,.480,-.025,.353,.365,-.012
Donaldson, Josh,518626,2019,659,396,.259,.269,-.010,.521,.539,-.018,.377,.390,-.013
Soto, Juan,665742,2019,659,416,.282,.288,-.006,.548,.584,-.036,.394,.414,-.020
Martinez, J.D.,502110,2019,657,442,.304,.306,-.002,.557,.578,-.021,.386,.402,-.016
Story, Trevor,596115,2019,656,417,.294,.265,.029,.554,.471,.083,.380,.346,.034
Eaton, Adam,594809,2019,656,472,.279,.263,.016,.428,.417,.011,.342,.336,.006
LeMahieu, DJ,518934,2019,655,517,.327,.319,.008,.518,.533,-.015,.375,.384,-.009
Rosario, Amed,642708,2019,655,497,.287,.294,-.007,.432,.435,-.003,.318,.330,-.012
Lindor, Francisco,596019,2019,654,507,.284,.276,.008,.518,.467,.051,.349,.336,.013
Pham, Tommy,502054,2019,654,445,.273,.282,-.009,.450,.473,-.023,.349,.366,-.017
Fletcher, David,664058,2019,653,534,.290,.297,-.007,.384,.377,.007,.318,.324,-.006
Conforto, Michael,624424,2019,648,405,.257,.266,-.009,.494,.513,-.019,.358,.374,-.016
Andrus, Elvis,462101,2019,648,514,.275,.275,.000,.393,.407,-.014,.300,.316,-.016
Rendon, Anthony,543685,2019,646,468,.319,.315,.004,.598,.600,-.002,.413,.420,-.007
Pillar, Kevin,607680,2019,645,529,.259,.266,-.007,.432,.416,.016,.298,.304,-.006
Brantley, Michael,488726,2019,637,513,.311,.301,.010,.503,.485,.018,.367,.365,.002
Bryant, Kris,592178,2019,634,400,.282,.251,.031,.521,.469,.052,.380,.354,.026
Blackmon, Charlie,453568,2019,634,481,.314,.301,.013,.576,.532,.044,.387,.373,.014
Gordon, Alex,460086,2019,633,463,.266,.262,.004,.396,.437,-.041,.319,.339,-.020
Calhoun, Kole,594777,2019,632,392,.232,.245,-.013,.467,.479,-.012,.330,.344,-.014
Grandal, Yasmani,518735,2019,632,379,.246,.243,.003,.468,.482,-.014,.361,.369,-.008
Marte, Ketel,606466,2019,628,485,.329,.305,.024,.592,.531,.061,.405,.380,.025
Grichuk, Randal,545341,2019,628,425,.232,.240,-.008,.457,.436,.021,.307,.309,-.002
Ahmed, Nick,605113,2019,625,456,.254,.261,-.007,.437,.432,.005,.315,.326,-.011
Cain, Lorenzo,456715,2019,623,460,.260,.292,-.032,.372,.422,-.050,.302,.340,-.038
Segura, Jean,516416,2019,618,507,.280,.275,.005,.420,.408,.012,.315,.317,-.002
Garcia, Leury,544725,2019,618,452,.279,.247,.032,.378,.359,.019,.295,.279,.016
Robles, Victor,645302,2019,617,417,.255,.234,.021,.419,.379,.040,.317,.300,.017
Belt, Brandon,474832,2019,616,403,.234,.244,-.010,.403,.465,-.062,.319,.350,-.031
Benintendi, Andrew,643217,2019,615,409,.266,.269,-.003,.431,.470,-.039,.330,.348,-.018
Bell, Josh,605137,2019,613,416,.277,.288,-.011,.569,.565,.004,.379,.390,-.011
Rizzo, Anthony,519203,2019,613,429,.293,.301,-.008,.520,.498,.022,.390,.394,-.004
Gurriel, Yuli,493329,2019,612,505,.298,.283,.015,.541,.421,.120,.364,.325,.039
Puig, Yasiel,624577,2019,611,426,.267,.262,.005,.458,.461,-.003,.330,.334,-.004
Schwarber, Kyle,656941,2019,610,379,.250,.267,-.017,.531,.558,-.027,.357,.378,-.021
Frazier, Adam,624428,2019,608,484,.278,.279,-.001,.417,.408,.009,.320,.323,-.003
Votto, Joey,458015,2019,608,405,.261,.261,.000,.411,.451,-.040,.332,.350,-.018
Torres, Gleyber,650402,2019,604,424,.278,.262,.016,.535,.501,.034,.359,.347,.012
Walker, Christian,572233,2019,603,375,.259,.266,-.007,.476,.522,-.046,.346,.367,-.021
Trout, Mike,545361,2019,600,354,.291,.311,-.020,.645,.676,-.031,.436,.460,-.024
Nunez, Renato,600524,2019,599,402,.244,.256,-.012,.460,.474,-.014,.323,.338,-.015
Kepler, Max,596146,2019,596,429,.252,.264,-.012,.519,.465,.054,.355,.348,.007
Realmuto, J.T.,592663,2019,593,423,.275,.281,-.006,.493,.480,.013,.340,.349,-.009
Meadows, Austin,640457,2019,591,399,.291,.286,.005,.558,.553,.005,.380,.379,.001
Rosario, Eddie,592696,2019,590,482,.276,.268,.008,.500,.506,-.006,.329,.336,-.007
Heyward, Jason,518792,2019,589,406,.251,.261,-.010,.429,.407,.022,.328,.331,-.003
Muncy, Max,571970,2019,589,342,.251,.272,-.021,.515,.527,-.012,.373,.390,-.017
Galvis, Freddy,520471,2019,589,415,.260,.239,.021,.438,.393,.045,.307,.287,.020
Marte, Starling,516782,2019,586,451,.295,.303,-.008,.503,.516,-.013,.353,.369,-.016
Dozier, Hunter,641531,2019,586,380,.279,.265,.014,.522,.480,.042,.360,.345,.015
Moustakas, Mike,519058,2019,584,427,.254,.263,-.009,.516,.509,.007,.348,.354,-.006
Adames, Willy,642715,2019,584,382,.254,.254,.000,.418,.446,-.028,.313,.326,-.013
Odor, Rougned,596059,2019,581,346,.205,.223,-.018,.439,.471,-.032,.302,.324,-.022
Yelich, Christian,592885,2019,580,374,.329,.315,.014,.671,.628,.043,.442,.428,.014
Fowler, Dexter,451594,2019,574,350,.238,.254,-.016,.409,.430,-.021,.326,.344,-.018
Turner, Trea,607208,2019,569,410,.298,.283,.015,.497,.462,.035,.356,.343,.013
Bradley Jr., Jackie,598265,2019,567,344,.225,.234,-.009,.421,.431,-.010,.314,.327,-.013
McNeil, Jeff,643446,2019,567,436,.318,.291,.027,.531,.478,.053,.385,.361,.024
Smith, Mallex,605480,2019,566,372,.227,.215,.012,.335,.300,.035,.278,.268,.010
Baez, Javier,595879,2019,561,377,.281,.269,.012,.531,.510,.021,.347,.339,.008
Crawford, Brandon,543063,2019,560,387,.228,.244,-.016,.350,.408,-.058,.281,.313,-.032
Moncada, Yoan,660162,2019,559,361,.315,.285,.030,.548,.523,.025,.380,.362,.018
Vogelbach, Daniel,596129,2019,558,315,.208,.229,-.021,.439,.447,-.008,.333,.348,-.015
Springer, George,543807,2019,556,370,.292,.288,.004,.591,.582,.009,.401,.404,-.003
Sanchez, Yolmer,570560,2019,555,389,.252,.234,.018,.321,.323,-.002,.281,.280,.001
Reddick, Josh,502210,2019,550,445,.275,.276,-.001,.409,.400,.009,.308,.318,-.010
Gardner, Brett,458731,2019,550,386,.251,.241,.010,.503,.375,.128,.344,.306,.038
Alberto, Hanser,593643,2019,550,480,.305,.283,.022,.422,.401,.021,.318,.308,.010
Turner, Justin,457759,2019,549,396,.290,.290,.000,.509,.524,-.015,.370,.382,-.012
Cabrera, Miguel,408234,2019,549,390,.282,.272,.010,.398,.443,-.045,.318,.336,-.018
Wong, Kolten,543939,2019,549,406,.285,.250,.035,.423,.365,.058,.334,.307,.027
Ozuna, Marcell,542303,2019,549,372,.241,.291,-.050,.472,.548,-.076,.336,.387,-.051
Altuve, Jose,514888,2019,548,422,.298,.277,.021,.550,.499,.051,.374,.356,.018
Reyes, Franmil,614177,2019,548,345,.249,.265,-.016,.512,.543,-.031,.338,.364,-.026
Olson, Matt,621566,2019,547,346,.267,.283,-.016,.545,.590,-.045,.368,.395,-.027
Arcia, Orlando,606115,2019,546,393,.223,.230,-.007,.350,.369,-.019,.269,.287,-.018
Reynolds, Bryan,668804,2019,546,373,.314,.300,.014,.503,.487,.016,.371,.367,.004
Pujols, Albert,405395,2019,545,431,.244,.253,-.009,.430,.433,-.003,.308,.322,-.014
Swanson, Dansby,621020,2019,545,365,.251,.275,-.024,.422,.490,-.068,.317,.357,-.040
Ramirez, Jose,608070,2019,542,414,.255,.272,-.017,.479,.467,.012,.335,.346,-.011
Seager, Corey,608369,2019,541,395,.272,.261,.011,.483,.468,.015,.340,.335,.005
McMahon, Ryan,641857,2019,539,322,.250,.248,.002,.450,.437,.013,.330,.330,.000
Davis, Khris,501981,2019,533,337,.220,.236,-.016,.387,.446,-.059,.289,.323,-.034
Newman, Kevin,621028,2019,531,434,.308,.282,.026,.446,.387,.059,.340,.314,.026
Garcia, Avisail,541645,2019,530,367,.282,.278,.004,.464,.502,-.038,.334,.351,-.017
Iglesias, Jose,578428,2019,530,437,.288,.271,.017,.407,.376,.031,.306,.296,.010
Jones, Adam,430945,2019,528,387,.260,.259,.001,.414,.435,-.021,.308,.322,-.014
Rojas, Miguel,500743,2019,526,427,.284,.275,.009,.379,.379,.000,.305,.310,-.005
Ramos, Wilson,467092,2019,524,407,.288,.264,.024,.416,.405,.011,.327,.318,.009
Vazquez, Christian,543877,2019,521,387,.276,.253,.023,.477,.447,.030,.331,.317,.014
Cruz, Nelson,443558,2019,521,326,.311,.294,.017,.639,.642,-.003,.417,.419,-.002
Anderson, Brian,605119,2019,520,348,.261,.258,.003,.468,.461,.007,.342,.345,-.003
Profar, Jurickson,595777,2019,518,387,.218,.256,-.038,.410,.438,-.028,.301,.334,-.033
Anderson, Tim,641313,2019,518,391,.335,.296,.039,.508,.471,.037,.363,.337,.026
Guerrero Jr., Vladimir,665489,2019,514,375,.272,.261,.011,.433,.435,-.002,.329,.331,-.002
Cabrera, Asdrubal,452678,2019,514,351,.260,.241,.019,.441,.418,.023,.331,.323,.008
Pederson, Joc,592626,2019,514,341,.249,.252,-.003,.538,.481,.057,.362,.349,.013
Kipnis, Jason,543401,2019,511,381,.245,.259,-.014,.410,.425,-.015,.301,.322,-.021
Santana, Danny,542454,2019,511,328,.283,.276,.007,.534,.502,.032,.352,.346,.006
Voit, Luke,572228,2019,510,288,.263,.249,.014,.464,.496,-.032,.360,.367,-.007
Braun, Ryan,460075,2019,508,357,.285,.271,.014,.505,.482,.023,.354,.347,.007
Longoria, Evan,446334,2019,508,346,.254,.276,-.022,.437,.504,-.067,.322,.360,-.038
Santana, Domingo,570267,2019,507,289,.253,.254,-.001,.441,.490,-.049,.326,.349,-.023
Jimenez, Eloy,650391,2019,504,336,.267,.270,-.003,.513,.526,-.013,.343,.355,-.012
Moran, Colin,592567,2019,503,353,.277,.263,.014,.429,.446,-.017,.315,.320,-.005
Kingery, Scott,664068,2019,500,314,.258,.251,.007,.474,.442,.032,.329,.321,.008
Smoak, Justin,475253,2019,500,309,.208,.251,-.043,.406,.502,-.096,.323,.373,-.050
Cron, C.J.,543068,2019,499,353,.253,.277,-.024,.469,.551,-.082,.325,.370,-.045
Frazier, Todd,453943,2019,499,341,.251,.238,.013,.443,.411,.032,.328,.316,.012
Canha, Mark,592192,2019,497,305,.273,.250,.023,.517,.478,.039,.386,.369,.017
Renfroe, Hunter,592669,2019,494,292,.216,.221,-.005,.489,.455,.034,.320,.315,.005
Carpenter, Matt,572761,2019,492,293,.226,.224,.002,.392,.417,-.025,.315,.329,-.014
Panik, Joe,605412,2019,491,397,.244,.254,-.010,.336,.380,-.044,.284,.311,-.027
Myers, Wil,571976,2019,490,269,.239,.232,.007,.418,.431,-.013,.316,.321,-.005
Choi, Ji-Man,596847,2019,487,309,.261,.264,-.003,.459,.500,-.041,.348,.369,-.021
Encarnacion, Edwin,429665,2019,486,318,.244,.250,-.006,.531,.534,-.003,.362,.372,-.010
Dozier, Brian,572821,2019,482,312,.238,.239,-.001,.430,.436,-.006,.329,.336,-.007
Desmond, Ian,435622,2019,482,327,.255,.273,-.018,.479,.481,-.002,.328,.343,-.015
Grossman, Robbie,543257,2019,482,336,.240,.268,-.028,.348,.392,-.044,.299,.332,-.033
Mercado, Oscar,640458,2019,482,365,.269,.264,.005,.443,.411,.032,.321,.314,.007
Narvaez, Omar,553882,2019,482,339,.278,.262,.016,.460,.434,.026,.345,.334,.011
Laureano, Ramon,657656,2019,481,320,.288,.274,.014,.521,.493,.028,.356,.348,.008
Kiermaier, Kevin,595281,2019,480,345,.228,.250,-.022,.398,.402,-.004,.284,.302,-.018
Murphy, Daniel,502517,2019,478,368,.279,.254,.025,.452,.379,.073,.328,.298,.030
Urshela, Gio,570482,2019,476,359,.314,.289,.025,.534,.504,.030,.369,.353,.016
McCann, James,543510,2019,476,303,.273,.259,.014,.460,.452,.008,.333,.327,.006
Goodrum, Niko,592348,2019,472,287,.248,.241,.007,.421,.398,.023,.316,.310,.006
Markakis, Nick,455976,2019,469,361,.285,.302,-.017,.420,.438,-.018,.332,.356,-.024
Mazara, Nomar,608577,2019,469,327,.268,.269,-.001,.469,.486,-.017,.327,.341,-.014
Alfaro, Jorge,595751,2019,465,279,.262,.251,.011,.425,.460,-.035,.312,.324,-.012
Schoop, Jonathan,570731,2019,464,318,.256,.252,.004,.473,.441,.032,.324,.316,.008
Hernandez, Teoscar,606192,2019,464,265,.230,.220,.010,.472,.455,.017,.325,.318,.007
Gonzalez, Marwin,503556,2019,463,328,.264,.267,-.003,.414,.445,-.031,.313,.329,-.016
Hernandez, Enrique,571771,2019,460,321,.237,.243,-.006,.411,.414,-.003,.302,.311,-.009
Thames, Eric,519346,2019,459,258,.247,.228,.019,.505,.442,.063,.354,.330,.024
Goodwin, Brian,571718,2019,458,288,.262,.238,.024,.470,.420,.050,.332,.312,.020
Davis, J.D.,605204,2019,453,315,.307,.317,-.010,.527,.560,-.033,.374,.394,-.020
Dyson, Jarrod,502481,2019,452,317,.230,.224,.006,.320,.301,.019,.281,.278,.003
Molina, Yadier,425877,2019,452,366,.270,.273,-.003,.399,.444,-.045,.303,.328,-.025
Perez, Roberto,547379,2019,449,273,.239,.224,.015,.452,.451,.001,.326,.324,.002
Tapia, Raimel,606132,2019,447,326,.275,.265,.010,.415,.388,.027,.307,.299,.008
Judge, Aaron,592450,2019,447,238,.272,.277,-.005,.540,.575,-.035,.382,.401,-.019
Drury, Brandon,592273,2019,447,308,.218,.251,-.033,.380,.434,-.054,.271,.313,-.042
Sanchez, Gary,596142,2019,446,272,.232,.251,-.019,.525,.562,-.037,.346,.372,-.026
Ramirez, Harold,623912,2019,446,331,.276,.272,.004,.416,.414,.002,.308,.313,-.005
Posey, Buster,457763,2019,445,336,.257,.254,.003,.368,.423,-.055,.298,.320,-.022
Seager, Kyle,572122,2019,443,309,.239,.264,-.025,.468,.494,-.026,.332,.355,-.023
Mondesi, Adalberto,609275,2019,443,292,.263,.238,.025,.424,.393,.031,.298,.290,.008
Sogard, Eric,519299,2019,442,339,.290,.268,.022,.457,.376,.081,.342,.311,.031
Margot, Manuel,622534,2019,441,313,.234,.227,.007,.387,.339,.048,.296,.282,.014
Sano, Miguel,593934,2019,439,222,.247,.236,.011,.576,.551,.025,.379,.369,.010
Chirinos, Robinson,455139,2019,437,248,.238,.216,.022,.443,.405,.038,.336,.321,.015
Biggio, Cavan,624415,2019,430,233,.234,.243,-.009,.429,.434,-.005,.343,.351,-.008
Franco, Maikel,596748,2019,428,331,.234,.248,-.014,.409,.427,-.018,.281,.301,-.020
Ohtani, Shohei,660271,2019,425,278,.286,.281,.005,.505,.491,.014,.352,.353,-.001
Simmons, Andrelton,592743,2019,424,361,.264,.244,.020,.364,.331,.033,.290,.276,.014
Bauers, Jake,641343,2019,423,260,.226,.226,.000,.371,.358,.013,.296,.297,-.001
Peralta, David,444482,2019,423,296,.275,.251,.024,.461,.385,.076,.338,.308,.030
Cano, Robinson,429664,2019,423,324,.256,.282,-.026,.428,.455,-.027,.308,.334,-.026
Strange-Gordon, Dee,543829,2019,421,341,.275,.251,.024,.359,.313,.046,.282,.265,.017
Cooper, Garrett,643265,2019,421,272,.282,.271,.011,.447,.472,-.025,.337,.347,-.010
Dixon, Brandon,641525,2019,420,259,.248,.237,.011,.435,.445,-.010,.303,.309,-.006
Stewart, Christin,621514,2019,416,272,.233,.248,-.015,.388,.439,-.051,.294,.323,-.029
Senzel, Nick,669222,2019,414,275,.256,.247,.009,.427,.418,.009,.315,.313,.002
Taylor, Chris,621035,2019,414,258,.262,.242,.020,.462,.405,.057,.331,.309,.022
Dahl, David,621311,2019,413,271,.302,.267,.035,.524,.487,.037,.364,.343,.021
Ruiz, Rio,547004,2019,413,285,.232,.234,-.002,.376,.362,.014,.294,.296,-.002
Wolters, Tony,547172,2019,411,299,.262,.252,.010,.329,.326,.003,.290,.292,-.002
Yastrzemski, Mike,573262,2019,411,268,.272,.259,.013,.518,.520,-.002,.353,.351,.002
Tellez, Rowdy,642133,2019,409,257,.227,.251,-.024,.449,.477,-.028,.308,.335,-.027
Contreras, Willson,575929,2019,409,260,.272,.248,.024,.533,.481,.052,.368,.347,.021
DeShields, Delino,592261,2019,408,267,.249,.219,.030,.347,.320,.027,.295,.278,.017
Bader, Harrison,664056,2019,406,233,.205,.217,-.012,.366,.411,-.045,.293,.318,-.025
Rengifo, Luis,650859,2019,406,268,.238,.241,-.003,.364,.377,-.013,.298,.312,-.014
Santander, Anthony,623993,2019,405,298,.261,.264,-.003,.476,.464,.012,.321,.322,-.001
Peraza, Jose,606299,2019,403,320,.239,.272,-.033,.346,.373,-.027,.272,.305,-.033
Lopez, Nicky,670032,2019,402,332,.240,.226,.014,.325,.286,.039,.260,.247,.013
Cabrera, Melky,466320,2019,397,338,.280,.281,-.001,.399,.381,.018,.301,.300,.001
Crawford, J.P.,641487,2019,396,268,.226,.243,-.017,.371,.346,.025,.296,.303,-.007
Piscotty, Stephen,572039,2019,393,277,.249,.254,-.005,.412,.444,-.032,.306,.326,-.020
Smith, Dwight,596105,2019,392,280,.241,.241,.000,.412,.378,.034,.299,.295,.004
d'Arnaud, Travis,518595,2019,391,272,.251,.264,-.013,.433,.458,-.025,.314,.338,-.024
Candelario, Jeimer,600869,2019,386,237,.203,.233,-.030,.337,.374,-.037,.283,.311,-.028
Jansen, Danny,643376,2019,384,270,.207,.246,-.039,.360,.419,-.059,.275,.315,-.040
Winker, Jesse,608385,2019,384,278,.269,.282,-.013,.473,.450,.023,.351,.355,-.004
Chavis, Michael,656308,2019,382,220,.254,.219,.035,.444,.401,.043,.323,.297,.026
Walker, Neil,435522,2019,381,261,.261,.270,-.009,.395,.438,-.043,.319,.344,-.025
Verdugo, Alex,657077,2019,377,300,.294,.293,.001,.475,.463,.012,.341,.343,-.002
Maldonado, Martin,455117,2019,374,250,.213,.217,-.004,.378,.391,-.013,.288,.301,-.013
Martinez, Jose,500874,2019,373,254,.269,.275,-.006,.410,.475,-.065,.323,.351,-.028
Tatis Jr., Fernando,665487,2019,372,227,.317,.257,.060,.590,.495,.095,.398,.348,.050
Garcia, Greg,594824,2019,372,231,.248,.223,.025,.354,.311,.043,.319,.302,.017
Pinder, Chad,640461,2019,370,257,.240,.258,-.018,.416,.454,-.038,.298,.325,-.027
Kendrick, Howie,435062,2019,370,290,.344,.336,.008,.572,.626,-.054,.400,.426,-.026
O'Hearn, Ryan,656811,2019,370,231,.195,.225,-.030,.369,.412,-.043,.279,.311,-.032
Aguilar, Jesus,542583,2019,369,240,.236,.246,-.010,.389,.443,-.054,.307,.336,-.029
Alvarez, Yordan,670541,2019,369,221,.313,.292,.021,.655,.606,.049,.432,.414,.018
Castro, Harold,605612,2019,369,274,.291,.265,.026,.384,.383,.001,.292,.288,.004
Forsythe, Logan,523253,2019,367,219,.227,.238,-.011,.353,.411,-.058,.298,.325,-.027
Arraez, Luis,650333,2019,366,300,.334,.294,.040,.439,.416,.023,.360,.342,.018
Kelly, Carson,608348,2019,365,236,.245,.251,-.006,.478,.473,.005,.339,.344,-.005
Barnhart, Tucker,571466,2019,364,235,.231,.222,.009,.380,.332,.048,.301,.287,.014
Almora Jr., Albert,546991,2019,363,284,.236,.258,-.022,.381,.390,-.009,.271,.290,-.019
Granderson, Curtis,434158,2019,363,221,.183,.217,-.034,.356,.398,-.042,.275,.311,-.036
Wilkerson, Stevie,592859,2019,361,224,.225,.202,.023,.383,.320,.063,.286,.258,.028
Garver, Mitch,641598,2019,359,226,.273,.258,.015,.630,.577,.053,.405,.384,.021
Gomes, Yan,543228,2019,358,231,.223,.220,.003,.389,.398,-.009,.298,.306,-.008
Bote, David,623520,2019,356,212,.257,.248,.009,.422,.387,.035,.336,.325,.011
Gamel, Ben,592325,2019,356,209,.248,.232,.016,.373,.351,.022,.308,.302,.006
Hamilton, Billy,571740,2019,353,234,.218,.226,-.008,.275,.268,.007,.251,.261,-.010
Davis, Chris,448801,2019,352,171,.179,.208,-.029,.326,.383,-.057,.263,.300,-.037
Edman, Tommy,669242,2019,349,265,.304,.287,.017,.500,.452,.048,.357,.338,.019
Hiura, Keston,669374,2019,348,208,.303,.265,.038,.570,.530,.040,.388,.361,.027
Hedges, Austin,595978,2019,347,206,.176,.199,-.023,.311,.357,-.046,.242,.271,-.029
Diaz, Yandy,650490,2019,347,250,.267,.282,-.015,.476,.495,-.019,.341,.362,-.021
Gregorius, Didi,544369,2019,344,273,.238,.245,-.007,.441,.408,.033,.298,.297,.001
Gurriel Jr., Lourdes,666971,2019,343,232,.277,.253,.024,.541,.510,.031,.358,.344,.014
Pollock, AJ,572041,2019,342,238,.266,.268,-.002,.468,.467,.001,.333,.343,-.010
Phegley, Josh,572033,2019,342,258,.239,.246,-.007,.411,.376,.035,.291,.289,.002
Severino, Pedro,600474,2019,341,235,.249,.269,-.020,.420,.449,-.029,.316,.341,-.025
Calhoun, Willie,641432,2019,337,258,.269,.262,.007,.524,.451,.073,.351,.330,.021
Alonso, Yonder,475174,2019,335,224,.199,.232,-.033,.346,.380,-.034,.277,.308,-.031
Moreland, Mitch,519048,2019,335,226,.252,.257,-.005,.507,.502,.005,.347,.355,-.008
Adams, Matt,571431,2019,333,196,.226,.230,-.004,.465,.484,-.019,.306,.323,-.017
Jones, JaCoby,592444,2019,333,206,.235,.249,-.014,.430,.444,-.014,.312,.327,-.015
Bruce, Jay,457803,2019,333,231,.216,.250,-.034,.523,.557,-.034,.318,.351,-.033
Hicks, John,543308,2019,333,211,.210,.204,.006,.379,.358,.021,.259,.253,.006
Diaz, Elias,553869,2019,332,251,.241,.247,-.006,.307,.340,-.033,.265,.287,-.022
Cuthbert, Cheslor,596144,2019,330,242,.246,.254,-.008,.379,.388,-.009,.287,.299,-.012
Beckham, Tim,542921,2019,328,202,.237,.222,.015,.461,.426,.035,.315,.301,.014
Lucroy, Jonathan,518960,2019,328,245,.232,.241,-.009,.355,.370,-.015,.286,.303,-.017
Hampson, Garrett,641658,2019,327,215,.247,.227,.020,.385,.339,.046,.292,.274,.018
Lowe, Brandon,664040,2019,327,184,.270,.239,.031,.514,.508,.006,.354,.345,.009
La Stella, Tommy,600303,2019,321,264,.295,.301,-.006,.486,.494,-.008,.351,.362,-.011
Correa, Carlos,621043,2019,321,208,.280,.288,-.008,.570,.558,.012,.380,.395,-.015
Marisnick, Jake,545350,2019,318,200,.233,.201,.032,.411,.334,.077,.297,.261,.036
McCann, Brian,435263,2019,316,230,.249,.244,.005,.412,.413,-.001,.312,.321,-.009
Pence, Hunter,452254,2019,316,219,.297,.281,.016,.552,.506,.046,.377,.359,.018
Flowers, Tyler,452095,2019,310,168,.229,.199,.030,.413,.384,.029,.310,.292,.018
Suzuki, Kurt,435559,2019,309,247,.264,.283,-.019,.486,.467,.019,.337,.346,-.009
Martin, Richie,621006,2019,309,206,.208,.219,-.011,.322,.313,.009,.252,.260,-.008
Dietrich, Derek,518618,2019,306,178,.187,.225,-.038,.462,.450,.012,.334,.354,-.020
Parra, Gerardo,467827,2019,301,218,.234,.250,-.016,.391,.394,-.003,.288,.305,-.017
Gallo, Joey,608336,2019,297,129,.253,.226,.027,.598,.597,.001,.401,.394,.007
Riley, Austin,663586,2019,297,168,.226,.225,.001,.471,.461,.010,.307,.309,-.002
Tauchman, Mike,643565,2019,296,190,.277,.253,.024,.504,.422,.082,.364,.331,.033
Sandoval, Pablo,467055,2019,296,210,.268,.275,-.007,.507,.484,.023,.336,.340,-.004
Guzman, Ronald,608597,2019,295,173,.219,.241,-.022,.414,.438,-.024,.306,.332,-.026
Holt, Brock,571788,2019,295,206,.297,.263,.034,.402,.371,.031,.333,.318,.015
Buxton, Byron,621439,2019,295,206,.262,.251,.011,.513,.441,.072,.340,.316,.024
Naquin, Tyler,571980,2019,294,212,.288,.277,.011,.467,.478,-.011,.330,.333,-.003
Rodriguez, Ronny,500135,2019,294,199,.221,.223,-.002,.438,.435,.003,.283,.292,-.009
Reyes, Victor,622682,2019,292,214,.304,.277,.027,.431,.382,.049,.325,.302,.023
Zunino, Mike,572287,2019,289,168,.165,.195,-.030,.312,.382,-.070,.235,.275,-.040
Lugo, Dawel,608475,2019,288,218,.245,.263,-.018,.381,.397,-.016,.272,.295,-.023
Berti, Jon,542932,2019,287,184,.273,.263,.010,.406,.389,.017,.327,.323,.004
Flores, Wilmer,527038,2019,285,235,.317,.292,.025,.487,.448,.039,.359,.338,.021
